"","ciudad","comunidad","N"
"1","Barcelona","Andalucía",56
"2","Barcelona","Aragón",12
"3","Barcelona","Balears, Illes",9
"4","Barcelona","Canarias",10
"5","Barcelona","Cantabria",1
"6","Barcelona","Castilla-La Mancha",27
"7","Barcelona","Castilla y León",21
"8","Barcelona","Cataluña",291
"9","Barcelona","Comunitat Valenciana",54
"10","Barcelona","Extremadura",3
"11","Barcelona","Galicia",6
"12","Barcelona","Madrid, Comunidad de",15
"13","Barcelona","Murcia, Región de",16
"14","Barcelona","Navarra, Comunidad Foral de",1
"15","Barcelona","País Vasco",1
"16","Bilbao","Andalucía",34
"17","Bilbao","Aragón",3
"18","Bilbao","Balears, Illes",3
"19","Bilbao","Canarias",5
"20","Bilbao","Cantabria",2
"21","Bilbao","Castilla-La Mancha",8
"22","Bilbao","Castilla y León",20
"23","Bilbao","Cataluña",18
"24","Bilbao","Comunitat Valenciana",21
"25","Bilbao","Extremadura",1
"26","Bilbao","Galicia",1
"27","Bilbao","Madrid, Comunidad de",14
"28","Bilbao","Murcia, Región de",3
"29","Bilbao","Navarra, Comunidad Foral de",2
"30","Bilbao","País Vasco",5
"31","Bilbao","Melilla",1
"32","Valencia","Andalucía",68
"33","Valencia","Aragón",35
"34","Valencia","Balears, Illes",10
"35","Valencia","Canarias",13
"36","Valencia","Cantabria",1
"37","Valencia","Castilla-La Mancha",88
"38","Valencia","Castilla y León",32
"39","Valencia","Cataluña",74
"40","Valencia","Comunitat Valenciana",276
"41","Valencia","Extremadura",18
"42","Valencia","Galicia",4
"43","Valencia","Madrid, Comunidad de",23
"44","Valencia","Murcia, Región de",18
"45","Valencia","País Vasco",2
"46","Valencia","Melilla",1
"47","Valencia","Asturias, Principado de",2
"48","Valencia","Rioja, La",2
"49","Madrid","Andalucía",113
"50","Madrid","Aragón",29
"51","Madrid","Balears, Illes",9
"52","Madrid","Canarias",12
"53","Madrid","Cantabria",3
"54","Madrid","Castilla-La Mancha",147
"55","Madrid","Castilla y León",111
"56","Madrid","Cataluña",26
"57","Madrid","Comunitat Valenciana",66
"58","Madrid","Extremadura",26
"59","Madrid","Galicia",10
"60","Madrid","Madrid, Comunidad de",71
"61","Madrid","Murcia, Región de",20
"62","Madrid","Navarra, Comunidad Foral de",7
"63","Madrid","País Vasco",4
"64","Madrid","Melilla",2
"65","Madrid","Asturias, Principado de",4
"66","Madrid","Rioja, La",8
"67","Sevilla","Andalucía",386
"68","Sevilla","Aragón",7
"69","Sevilla","Balears, Illes",5
"70","Sevilla","Canarias",9
"71","Sevilla","Cantabria",1
"72","Sevilla","Castilla-La Mancha",45
"73","Sevilla","Castilla y León",22
"74","Sevilla","Cataluña",27
"75","Sevilla","Comunitat Valenciana",45
"76","Sevilla","Extremadura",49
"77","Sevilla","Galicia",3
"78","Sevilla","Madrid, Comunidad de",38
"79","Sevilla","Murcia, Región de",16
"80","Sevilla","Rioja, La",3
"81","Sevilla","Ceuta",1
